Name,Event,Final,Heat,Semi,RoundsCompare,Time
RYLOV Evgeny,Men's 100m Backstroke,3158,3202,3211,SemitoFinal,0.0165057614450327
RYLOV Evgeny,Men's 100m Backstroke,3158,3202,3211,HeattoFinal,0.013741411617738912
KOLESNIKOV Kliment,Men's 100m Backstroke,3120,3135,3149,SemitoFinal,0.009209272785011114
KOLESNIKOV Kliment,Men's 100m Backstroke,3120,3135,3149,HeattoFinal,0.004784688995215311
MURPHY Ryan,Men's 100m Backstroke,3139,3202,3144,SemitoFinal,0.0015903307888040711
MURPHY Ryan,Men's 100m Backstroke,3139,3202,3144,HeattoFinal,0.01967520299812617
CECCON Thomas,Men's 100m Backstroke,3150,3169,3198,SemitoFinal,0.0150093808630394
CECCON Thomas,Men's 100m Backstroke,3150,3169,3198,HeattoFinal,0.005995582202587567
XU Jiayu,Men's 100m Backstroke,3171,3190,3214,SemitoFinal,0.013378967019290604
XU Jiayu,Men's 100m Backstroke,3171,3190,3214,HeattoFinal,0.0059561128526645765
GONZALEZ Hugo,Men's 100m Backstroke,3198,3225,3185,SemitoFinal,-0.004081632653061225
GONZALEZ Hugo,Men's 100m Backstroke,3198,3225,3185,HeattoFinal,0.008372093023255815
LARKIN Mitch,Men's 100m Backstroke,3199,3217,3196,SemitoFinal,-9.386733416770963e-4
LARKIN Mitch,Men's 100m Backstroke,3199,3217,3196,HeattoFinal,0.005595275101025801
GLINTA Robert,Men's 100m Backstroke,3215,3247,3200,SemitoFinal,-0.0046875
GLINTA Robert,Men's 100m Backstroke,3215,3247,3200,HeattoFinal,0.00985525100092393
DRESSEL Caeleb,Men's 100m Butterfly,2985,3039,3011,SemitoFinal,0.008635004981733644
DRESSEL Caeleb,Men's 100m Butterfly,2985,3039,3011,HeattoFinal,0.017769002961500493
MILAK Kristof,Men's 100m Butterfly,3008,3062,3031,SemitoFinal,0.007588254701418674
MILAK Kristof,Men's 100m Butterfly,3008,3062,3031,HeattoFinal,0.017635532331809273
PONTI Noe,Men's 100m Butterfly,3074,3084,3076,SemitoFinal,6.501950585175553e-4
PONTI Noe,Men's 100m Butterfly,3074,3084,3076,HeattoFinal,0.00324254215304799
MINAKOV Andrei,Men's 100m Butterfly,3088,3060,3071,SemitoFinal,-0.005535656138065777
MINAKOV Andrei,Men's 100m Butterfly,3088,3060,3071,HeattoFinal,-0.009150326797385621
MAJERSKI Jakub,Men's 100m Butterfly,3092,3097,3084,SemitoFinal,-0.0025940337224383916
MAJERSKI Jakub,Men's 100m Butterfly,3092,3097,3084,HeattoFinal,0.0016144656118824668
TEMPLE Matthew,Men's 100m Butterfly,3092,3099,3072,SemitoFinal,-0.006510416666666667
TEMPLE Matthew,Men's 100m Butterfly,3092,3099,3072,HeattoFinal,0.002258793159083575
MARTINEZ Luis Carlos,Men's 100m Butterfly,3069,3089,3090,SemitoFinal,0.006796116504854369
MARTINEZ Luis Carlos,Men's 100m Butterfly,3069,3089,3090,HeattoFinal,0.006474587245063127
MILADINOV Josif,Men's 100m Butterfly,3109,3088,3066,SemitoFinal,-0.014024787997390736
MILADINOV Josif,Men's 100m Butterfly,3109,3088,3066,HeattoFinal,-0.006800518134715026
PEATY Adam,Men's 100m Breaststroke,3457,3476,3483,SemitoFinal,0.007464829170255527
PEATY Adam,Men's 100m Breaststroke,3457,3476,3483,HeattoFinal,0.005466052934407365
KAMMINGA Arno,Men's 100m Breaststroke,3480,3500,3499,SemitoFinal,0.0054301228922549296
KAMMINGA Arno,Men's 100m Breaststroke,3480,3500,3499,HeattoFinal,0.005714285714285714
MARTINENGHI Nicolo,Men's 100m Breaststroke,3513,3548,3508,SemitoFinal,-0.0014253135689851768
MARTINENGHI Nicolo,Men's 100m Breaststroke,3513,3548,3508,HeattoFinal,0.009864712514092447
ANDREW Michael,Men's 100m Breaststroke,3564,3542,3579,SemitoFinal,0.004191114836546521
ANDREW Michael,Men's 100m Breaststroke,3564,3542,3579,HeattoFinal,-0.006211180124223602
WILBY James,Men's 100m Breaststroke,3576,3579,3540,SemitoFinal,-0.010169491525423728
WILBY James,Men's 100m Breaststroke,3576,3579,3540,HeattoFinal,8.382229673093043e-4
YAN Zibei,Men's 100m Breaststroke,3579,3555,3552,SemitoFinal,-0.007601351351351352
YAN Zibei,Men's 100m Breaststroke,3579,3555,3552,HeattoFinal,-0.006751054852320675
WILSON Andrew,Men's 100m Breaststroke,3579,3543,3558,SemitoFinal,-0.005902192242833052
WILSON Andrew,Men's 100m Breaststroke,3579,3543,3558,HeattoFinal,-0.010160880609652836
SHYMANOVICH Ilya,Men's 100m Breaststroke,3576,3573,3548,SemitoFinal,-0.007891770011273957
SHYMANOVICH Ilya,Men's 100m Breaststroke,3576,3573,3548,HeattoFinal,-8.396305625524769e-4
DRESSEL Caeleb,Men's 100m Freestyle,2822,2893,2843,SemitoFinal,0.007386563489271896
DRESSEL Caeleb,Men's 100m Freestyle,2822,2893,2843,HeattoFinal,0.024541997926028344
CHALMERS Kyle,Men's 100m Freestyle,2828,2897,2900,SemitoFinal,0.02482758620689655
CHALMERS Kyle,Men's 100m Freestyle,2828,2897,2900,HeattoFinal,0.023817742492233344
KOLESNIKOV Kliment,Men's 100m Freestyle,2864,2909,2831,SemitoFinal,-0.011656658424584953
KOLESNIKOV Kliment,Men's 100m Freestyle,2864,2909,2831,HeattoFinal,0.015469233413544173
GROUSSET Maxime,Men's 100m Freestyle,2892,2905,2902,SemitoFinal,0.0034458993797381117
GROUSSET Maxime,Men's 100m Freestyle,2892,2905,2902,HeattoFinal,0.004475043029259896
HWANG Sunwoo,Men's 100m Freestyle,2902,2917,2876,SemitoFinal,-0.009040333796940195
HWANG Sunwoo,Men's 100m Freestyle,2902,2917,2876,HeattoFinal,0.005142269454919438
MIRESSI Alessandro,Men's 100m Freestyle,2906,2903,2872,SemitoFinal,-0.011838440111420613
MIRESSI Alessandro,Men's 100m Freestyle,2906,2903,2872,HeattoFinal,-0.0010334137099552187
POPOVICI David,Men's 100m Freestyle,2884,2883,2892,SemitoFinal,0.0027662517289073307
POPOVICI David,Men's 100m Freestyle,2884,2883,2892,HeattoFinal,-3.46860908775581e-4
NEMETH Nandor,Men's 100m Freestyle,2890,2891,2901,SemitoFinal,0.003791795932437091
NEMETH Nandor,Men's 100m Freestyle,2890,2891,2901,HeattoFinal,3.459010722933241e-4
RYLOV Evgeny,Men's 200m Backstroke,113.27000000000001,116.02000000000001,114.45,SemitoFinal,0.010310179117518503
RYLOV Evgeny,Men's 200m Backstroke,113.27000000000001,116.02000000000001,114.45,HeattoFinal,0.0237028098603689
MURPHY Ryan,Men's 200m Backstroke,114.15,116.92,115.38,SemitoFinal,0.010660426417056595
MURPHY Ryan,Men's 200m Backstroke,114.15,116.92,115.38,HeattoFinal,0.023691412931919228
GREENBANK Luke,Men's 200m Backstroke,114.72,114.63,114.97999999999999,SemitoFinal,0.0022612628283178895
GREENBANK Luke,Men's 200m Backstroke,114.72,114.63,114.97999999999999,HeattoFinal,-7.851347814708489e-4
MEFFORD Bryce,Men's 200m Backstroke,115.49000000000001,116.37,116.37,SemitoFinal,0.007562086448397314
MEFFORD Bryce,Men's 200m Backstroke,115.49000000000001,116.37,116.37,HeattoFinal,0.007562086448397314
TELEGDY Adam,Men's 200m Backstroke,116.15,117.7,116.19,SemitoFinal,3.442637059987266e-4
TELEGDY Adam,Men's 200m Backstroke,116.15,117.7,116.19,HeattoFinal,0.013169073916737445
KAWECKI Radoslaw,Men's 200m Backstroke,116.39,116.83,116.68,SemitoFinal,0.0024854302365444484
KAWECKI Radoslaw,Men's 200m Backstroke,116.39,116.83,116.68,HeattoFinal,0.00376615595309422
IRIE Ryosuke,Men's 200m Backstroke,117.32,116.97,116.69,SemitoFinal,-0.00539892021595677
IRIE Ryosuke,Men's 200m Backstroke,117.32,116.97,116.69,HeattoFinal,-0.0029922202274086885
GARCIA SAIZ Nicolas,Men's 200m Backstroke,119.06,117.62,116.35,SemitoFinal,-0.023291792006875877
GARCIA SAIZ Nicolas,Men's 200m Backstroke,119.06,117.62,116.35,HeattoFinal,-0.01224281584764494
MILAK Kristof,Men's 200m Butterfly,111.25,113.58,112.22,SemitoFinal,0.008643735519515227
MILAK Kristof,Men's 200m Butterfly,111.25,113.58,112.22,HeattoFinal,0.02051417503081527
HONDA Tomoru,Men's 200m Butterfly,113.72999999999999,115.1,115.31,SemitoFinal,0.013702194085508736
HONDA Tomoru,Men's 200m Butterfly,113.72999999999999,115.1,115.31,HeattoFinal,0.011902693310165115
BURDISSO Federico,Men's 200m Butterfly,114.45,115.14,115.11,SemitoFinal,0.005733646077664812
BURDISSO Federico,Men's 200m Butterfly,114.45,115.14,115.11,HeattoFinal,0.005992704533611236
KENDERESI Tamas,Men's 200m Butterfly,114.52000000000001,115.18,115.17,SemitoFinal,0.005643830858730498
KENDERESI Tamas,Men's 200m Butterfly,114.52000000000001,115.18,115.17,HeattoFinal,0.005730161486369132
le CLOS Chad,Men's 200m Butterfly,114.93,115.96000000000001,115.06,SemitoFinal,0.0011298452981052967
le CLOS Chad,Men's 200m Butterfly,114.93,115.96000000000001,115.06,HeattoFinal,0.008882373232149026
de DEUS Leonardo,Men's 200m Butterfly,115.19,114.83,114.97,SemitoFinal,-0.0019135426633034606
de DEUS Leonardo,Men's 200m Butterfly,115.19,114.83,114.97,HeattoFinal,-0.0031350692327788855
BENTZ Gunnar,Men's 200m Butterfly,115.46000000000001,115.46000000000001,115.28,SemitoFinal,-0.0015614156835531473
BENTZ Gunnar,Men's 200m Butterfly,115.46000000000001,115.46000000000001,115.28,HeattoFinal,0
CHMIELEWSKI Krzysztof,Men's 200m Butterfly,115.88,115.77000000000001,115.28999999999999,SemitoFinal,-0.005117529707693672
CHMIELEWSKI Krzysztof,Men's 200m Butterfly,115.88,115.77000000000001,115.28999999999999,HeattoFinal,-9.501597996025327e-4
STUBBLETY-COOK Izaac,Men's 200m Breaststroke,126.38,127.37,127.35,SemitoFinal,0.00761680408323517
STUBBLETY-COOK Izaac,Men's 200m Breaststroke,126.38,127.37,127.35,HeattoFinal,0.0077726309177986105
KAMMINGA Arno,Men's 200m Breaststroke,127.01,127.37,127.99,SemitoFinal,0.007656848191264863
KAMMINGA Arno,Men's 200m Breaststroke,127.01,127.37,127.99,HeattoFinal,0.002826411242835828
MATTSSON Matti,Men's 200m Breaststroke,127.13,128.44,128.22,SemitoFinal,0.00850101388238967
MATTSSON Matti,Men's 200m Breaststroke,127.13,128.44,128.22,HeattoFinal,0.010199314855185318
CHUPKOV Anton,Men's 200m Breaststroke,127.24,128.54,128.54,SemitoFinal,0.01011358332036718
CHUPKOV Anton,Men's 200m Breaststroke,127.24,128.54,128.54,HeattoFinal,0.01011358332036718
FINK Nic,Men's 200m Breaststroke,127.93,128.48,128,SemitoFinal,5.468749999999467e-4
FINK Nic,Men's 200m Breaststroke,127.93,128.48,128,HeattoFinal,0.004280821917808087
WILBY James,Men's 200m Breaststroke,128.19,129.7,127.91,SemitoFinal,-0.002189039168165125
WILBY James,Men's 200m Breaststroke,128.19,129.7,127.91,HeattoFinal,0.011642251349267472
MURA Ryuya,Men's 200m Breaststroke,128.42,129,128.27,SemitoFinal,-0.0011694082794104408
MURA Ryuya,Men's 200m Breaststroke,128.42,129,128.27,HeattoFinal,0.004496124031007849
PERSSON Erik,Men's 200m Breaststroke,128.88,128.76,128.76,SemitoFinal,-9.319664492078639e-4
PERSSON Erik,Men's 200m Breaststroke,128.88,128.76,128.76,HeattoFinal,-9.319664492078639e-4
DEAN Tom,Men's 200m Freestyle,104.22,105.24000000000001,105.34,SemitoFinal,0.010632238465919921
DEAN Tom,Men's 200m Freestyle,104.22,105.24000000000001,105.34,HeattoFinal,0.009692132269099298
SCOTT Duncan,Men's 200m Freestyle,104.25999999999999,105.37,104.6,SemitoFinal,0.003250478011472308
SCOTT Duncan,Men's 200m Freestyle,104.25999999999999,105.37,104.6,HeattoFinal,0.010534307677707256
SCHEFFER Fernando,Men's 200m Freestyle,104.66,105.05,105.71000000000001,SemitoFinal,0.0099328351149372
SCHEFFER Fernando,Men's 200m Freestyle,104.66,105.05,105.71000000000001,HeattoFinal,0.0037125178486435086
POPOVICI David,Men's 200m Freestyle,104.68,105.32,105.68,SemitoFinal,0.009462528387585161
POPOVICI David,Men's 200m Freestyle,104.68,105.32,105.68,HeattoFinal,0.006076718571971006
MALYUTIN Martin,Men's 200m Freestyle,105.00999999999999,105.5,105.45,SemitoFinal,0.00417259364627797
MALYUTIN Martin,Men's 200m Freestyle,105.00999999999999,105.5,105.45,HeattoFinal,0.004644549763033262
SMITH Kieran,Men's 200m Freestyle,105.12,106.2,105.07,SemitoFinal,-4.7587322737233627e-4
SMITH Kieran,Men's 200m Freestyle,105.12,106.2,105.07,HeattoFinal,0.010169491525423712
HWANG Sunwoo,Men's 200m Freestyle,105.25999999999999,104.62,105.53,SemitoFinal,0.002558514166587797
HWANG Sunwoo,Men's 200m Freestyle,105.25999999999999,104.62,105.53,HeattoFinal,-0.006117377174536287
RAPSYS Danas,Men's 200m Freestyle,105.78,105.84,105.32,SemitoFinal,-0.00436764147360433
RAPSYS Danas,Men's 200m Freestyle,105.78,105.84,105.32,HeattoFinal,5.668934240363027e-4
DRESSEL Caeleb,Men's 50m Freestyle,1267,1292,1302,SemitoFinal,0.026881720430107527
DRESSEL Caeleb,Men's 50m Freestyle,1267,1292,1302,HeattoFinal,0.01934984520123839
MANAUDOU Florent,Men's 50m Freestyle,1315,1325,1313,SemitoFinal,-0.0015232292460015233
MANAUDOU Florent,Men's 50m Freestyle,1315,1325,1313,HeattoFinal,0.007547169811320755
FRATUS Bruno,Men's 50m Freestyle,1317,1327,1320,SemitoFinal,0.0022727272727272726
FRATUS Bruno,Men's 50m Freestyle,1317,1327,1320,HeattoFinal,0.007535795026375283
ANDREW Michael,Men's 50m Freestyle,1320,1349,1327,SemitoFinal,0.0052750565184626974
ANDREW Michael,Men's 50m Freestyle,1320,1349,1327,HeattoFinal,0.021497405485544848
PROUD Benjamin,Men's 50m Freestyle,1332,1353,1327,SemitoFinal,-0.0037678975131876413
PROUD Benjamin,Men's 50m Freestyle,1332,1353,1327,HeattoFinal,0.015521064301552107
GKOLOMEEV Kristian,Men's 50m Freestyle,1332,1326,1320,SemitoFinal,-0.00909090909090909
GKOLOMEEV Kristian,Men's 50m Freestyle,1332,1326,1320,HeattoFinal,-0.004524886877828055
ZAZZERI Lorenzo,Men's 50m Freestyle,1338,1346,1335,SemitoFinal,-0.0022471910112359553
ZAZZERI Lorenzo,Men's 50m Freestyle,1338,1346,1335,HeattoFinal,0.005943536404160475
de BOER Thom,Men's 50m Freestyle,1339,1335,1338,SemitoFinal,-7.473841554559044e-4
de BOER Thom,Men's 50m Freestyle,1339,1335,1338,HeattoFinal,-0.00299625468164794
McKEOWN Kaylee,Women's 100m Backstroke,3467,3508,3491,SemitoFinal,0.006874820968203953
McKEOWN Kaylee,Women's 100m Backstroke,3467,3508,3491,HeattoFinal,0.011687571265678449
MASSE Kylie,Women's 100m Backstroke,3492,3497,3489,SemitoFinal,-8.598452278589854e-4
MASSE Kylie,Women's 100m Backstroke,3492,3497,3489,HeattoFinal,0.0014297969688304261
SMITH Regan,Women's 100m Backstroke,3485,3516,3506,SemitoFinal,0.005989731888191671
SMITH Regan,Women's 100m Backstroke,3485,3516,3506,HeattoFinal,0.00881683731513083
WHITE Rhyan Elizabeth,Women's 100m Backstroke,3523,3542,3526,SemitoFinal,8.508224617129892e-4
WHITE Rhyan Elizabeth,Women's 100m Backstroke,3523,3542,3526,HeattoFinal,0.005364201016374929
SEEBOHM Emily,Women's 100m Backstroke,3525,3566,3539,SemitoFinal,0.003955919751342187
SEEBOHM Emily,Women's 100m Backstroke,3525,3566,3539,HeattoFinal,0.011497476163768929
DAWSON Kathleen,Women's 100m Backstroke,3550,3549,3536,SemitoFinal,-0.003959276018099547
DAWSON Kathleen,Women's 100m Backstroke,3550,3549,3536,HeattoFinal,-2.817695125387433e-4
TOUSSAINT Kira,Women's 100m Backstroke,3551,3561,3549,SemitoFinal,-5.635390250774866e-4
TOUSSAINT Kira,Women's 100m Backstroke,3551,3561,3549,HeattoFinal,0.002808199943836001
GORBENKO Anastasia,Women's 100m Backstroke,3593,3630,3570,SemitoFinal,-0.006442577030812325
GORBENKO Anastasia,Women's 100m Backstroke,3593,3630,3570,HeattoFinal,0.010192837465564738
MACNEIL Margaret,Women's 100m Butterfly,3359,3415,3416,SemitoFinal,0.01668618266978923
MACNEIL Margaret,Women's 100m Butterfly,3359,3415,3416,HeattoFinal,0.016398243045387995
ZHANG Yufei,Women's 100m Butterfly,3364,3382,3389,SemitoFinal,0.007376807317792859
ZHANG Yufei,Women's 100m Butterfly,3364,3382,3389,HeattoFinal,0.005322294500295683
McKEON Emma,Women's 100m Butterfly,3372,3382,3393,SemitoFinal,0.00618921308576481
McKEON Emma,Women's 100m Butterfly,3372,3382,3393,HeattoFinal,0.0029568302779420462
HUSKE Torri,Women's 100m Butterfly,3373,3389,3411,SemitoFinal,0.011140428026971563
HUSKE Torri,Women's 100m Butterfly,3373,3389,3411,HeattoFinal,0.00472115668338743
HANSSON Louise,Women's 100m Butterfly,3382,3457,3452,SemitoFinal,0.020278099652375436
HANSSON Louise,Women's 100m Butterfly,3382,3457,3452,HeattoFinal,0.021695111368238356
WATTEL Marie,Women's 100m Butterfly,3387,3428,3376,SemitoFinal,-0.003258293838862559
WATTEL Marie,Women's 100m Butterfly,3387,3428,3376,HeattoFinal,0.011960326721120186
SJOESTROEM Sarah,Women's 100m Butterfly,3451,3378,3400,SemitoFinal,-0.015
SJOESTROEM Sarah,Women's 100m Butterfly,3451,3378,3400,HeattoFinal,-0.021610420367081114
SHKURDAI Anastasiya,Women's 100m Butterfly,3425,3459,3439,SemitoFinal,0.004070950857807502
SHKURDAI Anastasiya,Women's 100m Butterfly,3425,3459,3439,HeattoFinal,0.009829430471234461
JACOBY Lydia,Women's 100m Breaststroke,64.95,65.52,65.72,SemitoFinal,0.011716372489348693
JACOBY Lydia,Women's 100m Breaststroke,64.95,65.52,65.72,HeattoFinal,0.008699633699633596
SCHOENMAKER Tatjana,Women's 100m Breaststroke,65.22,64.82,65.07,SemitoFinal,-0.00230520977408953
SCHOENMAKER Tatjana,Women's 100m Breaststroke,65.22,64.82,65.07,HeattoFinal,-0.006170934896636929
KING Lilly,Women's 100m Breaststroke,65.54,65.55,65.4,SemitoFinal,-0.0021406727828746264
KING Lilly,Women's 100m Breaststroke,65.54,65.55,65.4,HeattoFinal,1.5255530129658132e-4
CHIKUNOVA Evgeniia,Women's 100m Breaststroke,65.9,66.16,66.47,SemitoFinal,0.008575297126523142
CHIKUNOVA Evgeniia,Women's 100m Breaststroke,65.9,66.16,66.47,HeattoFinal,0.003929866989117154
EFIMOVA Yuliya,Women's 100m Breaststroke,66.02,66.21,66.34,SemitoFinal,0.004823635815496041
EFIMOVA Yuliya,Women's 100m Breaststroke,66.02,66.21,66.34,HeattoFinal,0.0028696571514876565
HANSSON Sophie,Women's 100m Breaststroke,66.07,65.66,65.81,SemitoFinal,-0.00395076736058336
HANSSON Sophie,Women's 100m Breaststroke,66.07,65.66,65.81,HeattoFinal,-0.00624428876028018
CARRARO Martina,Women's 100m Breaststroke,66.19,65.85,66.5,SemitoFinal,0.00466165413533838
CARRARO Martina,Women's 100m Breaststroke,66.19,65.85,66.5,HeattoFinal,-0.005163249810174691
Mc SHARRY Mona,Women's 100m Breaststroke,66.94,66.39,66.59,SemitoFinal,-0.005256044451118701
Mc SHARRY Mona,Women's 100m Breaststroke,66.94,66.39,66.59,HeattoFinal,-0.008284380177737569
McKEOWN Kaylee,Women's 200m Backstroke,124.68,128.18,127.93,SemitoFinal,0.025404518095833658
McKEOWN Kaylee,Women's 200m Backstroke,124.68,128.18,127.93,HeattoFinal,0.027305351848962395
MASSE Kylie,Women's 200m Backstroke,125.42,128.23,127.82,SemitoFinal,0.01877640431857293
MASSE Kylie,Women's 200m Backstroke,125.42,128.23,127.82,HeattoFinal,0.021913748732745757
SEEBOHM Emily,Women's 200m Backstroke,126.17,129.1,127.09,SemitoFinal,0.007238964513337018
SEEBOHM Emily,Women's 200m Backstroke,126.17,129.1,127.09,HeattoFinal,0.02269558481797051
WHITE Rhyan Elizabeth,Women's 200m Backstroke,126.39,128.23,127.28,SemitoFinal,0.0069924575738529275
WHITE Rhyan Elizabeth,Women's 200m Backstroke,126.39,128.23,127.28,HeattoFinal,0.01434921625204702
BACON Phoebe,Women's 200m Backstroke,126.4,128.3,127.1,SemitoFinal,0.005507474429582916
BACON Phoebe,Women's 200m Backstroke,126.4,128.3,127.1,HeattoFinal,0.014809041309431064
RUCK Taylor,Women's 200m Backstroke,128.24,128.87,128.73,SemitoFinal,0.003806416530723069
RUCK Taylor,Women's 200m Backstroke,128.24,128.87,128.73,HeattoFinal,0.00488864747419877
PENG Xuwei,Women's 200m Backstroke,128.26,129.03,128.76,SemitoFinal,0.0038831935383659526
PENG Xuwei,Women's 200m Backstroke,128.26,129.03,128.76,HeattoFinal,0.005967604433077658
LIU Yaxin,Women's 200m Backstroke,128.48,128.36,128.65,SemitoFinal,0.0013214146910222769
LIU Yaxin,Women's 200m Backstroke,128.48,128.36,128.65,HeattoFinal,-9.348706762229363e-4
SCHOENMAKER Tatjana,Women's 200m Breaststroke,138.95,139.16,139.32999999999998,SemitoFinal,0.002727337974592661
SCHOENMAKER Tatjana,Women's 200m Breaststroke,138.95,139.16,139.32999999999998,HeattoFinal,0.0015090543259557916
KING Lilly,Women's 200m Breaststroke,139.92000000000002,142.1,142.27,SemitoFinal,0.016517888521824658
KING Lilly,Women's 200m Breaststroke,139.92000000000002,142.1,142.27,HeattoFinal,0.0153413089373679
LAZOR Annie,Women's 200m Breaststroke,140.84,142.76,141.94,SemitoFinal,0.007749753416936694
LAZOR Annie,Women's 200m Breaststroke,140.84,142.76,141.94,HeattoFinal,0.013449145418884754
CHIKUNOVA Evgeniia,Women's 200m Breaststroke,140.88,142.16,140.57,SemitoFinal,-0.002205306964501688
CHIKUNOVA Evgeniia,Women's 200m Breaststroke,140.88,142.16,140.57,HeattoFinal,0.00900393922341025
CORBETT Kaylene,Women's 200m Breaststroke,142.06,142.48,142.07999999999998,SemitoFinal,1.4076576576563775e-4
CORBETT Kaylene,Women's 200m Breaststroke,142.06,142.48,142.07999999999998,HeattoFinal,0.0029477821448623495
RENSHAW Molly,Women's 200m Breaststroke,142.65,142.99,142.7,SemitoFinal,3.503854239662435e-4
RENSHAW Molly,Women's 200m Breaststroke,142.65,142.99,142.7,HeattoFinal,0.002377788656549433
WOOD Abbie,Women's 200m Breaststroke,143.72,144.13,142.35,SemitoFinal,-0.009624165788549383
WOOD Abbie,Women's 200m Breaststroke,143.72,144.13,142.35,HeattoFinal,0.002844654131686648
LECLUYSE Fanny,Women's 200m Breaststroke,144.57,143.42000000000002,143.73,SemitoFinal,-0.005844291379670239
LECLUYSE Fanny,Women's 200m Breaststroke,144.57,143.42000000000002,143.73,HeattoFinal,-0.008018407474550113
TITMUS Ariarne,Women's 200m Freestyle,113.5,115.88,114.82,SemitoFinal,0.011496255007838296
TITMUS Ariarne,Women's 200m Freestyle,113.5,115.88,114.82,HeattoFinal,0.020538488091128716
HAUGHEY Siobhan Bernadette,Women's 200m Freestyle,113.92,116.47999999999999,115.16,SemitoFinal,0.010767627648489014
HAUGHEY Siobhan Bernadette,Women's 200m Freestyle,113.92,116.47999999999999,115.16,HeattoFinal,0.02197802197802188
OLEKSIAK Penny,Women's 200m Freestyle,114.7,115.38,116.39,SemitoFinal,0.014520147779018796
OLEKSIAK Penny,Women's 200m Freestyle,114.7,115.38,116.39,HeattoFinal,0.005893569076096314
YANG Junxuan,Women's 200m Freestyle,115.00999999999999,116.17,115.97999999999999,SemitoFinal,0.008363510950163812
YANG Junxuan,Women's 200m Freestyle,115.00999999999999,116.17,115.97999999999999,HeattoFinal,0.009985366273564696
LEDECKY Kathleen,Women's 200m Freestyle,115.21000000000001,115.28,115.34,SemitoFinal,0.0011271024796254158
LEDECKY Kathleen,Women's 200m Freestyle,115.21000000000001,115.28,115.34,HeattoFinal,6.072172102705862e-4
SEEMANOVA Barbora,Women's 200m Freestyle,115.45,116.38,116.14,SemitoFinal,0.005941105562252434
SEEMANOVA Barbora,Women's 200m Freestyle,115.45,116.38,116.14,HeattoFinal,0.007991063756659157
PELLEGRINI Federica,Women's 200m Freestyle,115.91,117.33,116.44,SemitoFinal,0.00455170044658194
PELLEGRINI Federica,Women's 200m Freestyle,115.91,117.33,116.44,HeattoFinal,0.012102616551606594
WILSON Madison,Women's 200m Freestyle,116.39,115.87,116.58,SemitoFinal,0.0016297821238634219
WILSON Madison,Women's 200m Freestyle,116.39,115.87,116.58,HeattoFinal,-0.004487788038318771
McKEON Emma,Women's 50m Freestyle,1461,1442,1440,SemitoFinal,-0.014583333333333334
McKEON Emma,Women's 50m Freestyle,1461,1442,1440,HeattoFinal,-0.013176144244105409
SJOESTROEM Sarah,Women's 50m Freestyle,1447,1466,1453,SemitoFinal,0.0041293874741913286
SJOESTROEM Sarah,Women's 50m Freestyle,1447,1466,1453,HeattoFinal,0.01296043656207367
BLUME Pernille,Women's 50m Freestyle,1461,1452,1448,SemitoFinal,-0.008977900552486187
BLUME Pernille,Women's 50m Freestyle,1461,1452,1448,HeattoFinal,-0.006198347107438017
KROMOWIDJOJO Ranomi,Women's 50m Freestyle,1470,1481,1469,SemitoFinal,-6.807351940095302e-4
KROMOWIDJOJO Ranomi,Women's 50m Freestyle,1470,1481,1469,HeattoFinal,0.007427413909520594
WASICK Katarzyna,Women's 50m Freestyle,1472,1471,1466,SemitoFinal,-0.004092769440654843
WASICK Katarzyna,Women's 50m Freestyle,1472,1471,1466,HeattoFinal,-6.798096532970768e-4
WU Qingfeng,Women's 50m Freestyle,1472,1495,1472,SemitoFinal,0
WU Qingfeng,Women's 50m Freestyle,1472,1495,1472,HeattoFinal,0.015384615384615385
CAMPBELL Cate,Women's 50m Freestyle,1476,1455,1467,SemitoFinal,-0.006134969325153374
CAMPBELL Cate,Women's 50m Freestyle,1476,1455,1467,HeattoFinal,-0.01443298969072165
WEITZEIL Abbey,Women's 50m Freestyle,1481,1477,1459,SemitoFinal,-0.015078821110349555
WEITZEIL Abbey,Women's 50m Freestyle,1481,1477,1459,HeattoFinal,-0.002708192281651997
